Gene	EAGLE Annotation	Current SFARI Score	Existing ClinGen curation	Concordance 	Definitive ClinGen Classification with ASD features 
NRXN1	Definitive (score=143.75)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 07/10/2019]"	Concordant	Yes
SCN2A	Definitive (score=109.3)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Epilepsy GCEP, 05/07/2019]"	Concordant	Yes
MECP2	LoF curation: Definitive (score=106.65)	Score 1S	"Definitive: Rett Syndrome (X-linked) [Rett and Angelman-like Disorders GCEP, 05/02/2018]"	Concordant	Yes
MECP2	Duplication curation: Definitive (score=23.5)	Score 1S	Definitive	Concordant	Yes
CHD8	Definitive (score=97.65)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 07/16/2018]"	Concordant	Yes
DDX3X	Definitive (score=78.6)	Score 1S	"Definitive: X-linked Syndromic Intellectual disability (X-linked) [Intellectual Disability and Autism GCEP, 05/05/2020]"	Concordant	Yes
SHANK3	Definitive (score=74.85)	Score 1S	"Definitive: Phelan-McDermid syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 12/12/2018]"	Concordant	Yes
PTEN	Definitive (score=63.15)	Score 1S	"Definitive: PTEN hamartoma tumor syndrome (autosomal dominant) [Hereditary Cancer GCEP, 04/05/2024]"	Concordant	Yes
FOXP1	Definitive (score=60.45)	Score 1S	"Definitive: Intellectual disability-severe speech delay-mild dysmorphism syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 05/09/2019]"	Concordant	Yes
MBD5	LoF curation: Definitive (score=46.6)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 02/15/2023]"	Concordant	Yes
MBD5	Duplication curation: Moderate (score=8.5)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 02/15/2023]"	Concordant	Yes
