"Major category"	"Subcategory"	"Disease"	"Genetic defect"	"Inheritance"	"score_positive_total"	"VariantCounts.VRE"	"VariantCounts.ClnVar"	"OMIM ID"	"AlphaFold_URL"	"Uniprot"	"HPO IDs"	"HPO term"	"ICD9"	"ICD10"	"Associated features"	"B cell"	"T cell"	"Ig"	"Neutrophil"	"Inheritance detail"	"Major_category_original"	"GOF/DN details"	"T cell details"	"B cell details"	"Ig details"	"Neutrophil details"	"Other affected cells"	"score5.ClnVar"	"score4.ClnVar"	"score2.ClnVar"	"score0.ClnVar"	"score5.VRE"	"score4.VRE"	"score2.VRE"	"score0.VRE"	"min_prob"	"median_prob"	"max_prob"	"q1_prob"	"q3_prob"
"1. CID"	"1. T-B+ SCID"	"CD3z deficiency"	"CD247"	"AR"	2	"1 / 0 / 33 / 1"	"15 / 0 / 133 / 218"	"186780"	"https://alphafold.ebi.ac.uk/entry/P20963"	"P20963"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	NA	"normal"	"low"	"low"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal"	"Low"	"Normal"	"No g/d T cells"	15	0	133	218	1	0	33	1	1.79966467304579e-08	2.67991369015326e-07	5.17986091300195e-07	1.42994007872892e-07	3.92988730157761e-07
"1. CID"	"1. T-B+ SCID"	"CD3d deficiency"	"CD3D"	"AR"	3	"2 / 1 / 34 / 0"	"20 / 10 / 162 / 234"	"186790"	"https://alphafold.ebi.ac.uk/entry/P04234"	"P04234"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	NA	"normal"	"low"	"low"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal"	"Low"	"Normal"	"No g/d T cells"	20	10	162	234	2	1	34	0	2.09562009056258e-08	2.09756019494343e-08	1.04030479125869e-07	2.096590142753e-08	6.25030405376516e-08
"1. CID"	"1. T-B+ SCID"	"CD3e deficiency"	"CD3E"	"AR"	3	"1 / 2 / 29 / 2"	"26 / 14 / 173 / 346"	"186830"	"https://alphafold.ebi.ac.uk/entry/P07766"	"P07766"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	NA	"normal"	"low"	"low"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal"	"Low"	"Normal"	"No g/d T cells"	26	14	173	346	1	2	29	2	1.20180448583409e-07	1.20227036655275e-07	9.59637747246193e-07	1.20203742619342e-07	5.39932391950734e-07
"1. CID"	"1. T-B+ SCID"	"Coronin-1A deficiency"	"CORO1A"	"AR"	2	"1 / 1 / 43 / 2"	"19 / 14 / 236 / 376"	"605000"	"https://alphafold.ebi.ac.uk/entry/P31146"	"P31146"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	"Detectable thymus, EBV"	"normal"	"low"	"low"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal"	"Low"	"Normal"	NA	19	14	236	376	1	1	43	2	6.82919997819294e-08	6.82919997819294e-08	6.82919997819294e-08	6.82919997819294e-08	6.82919997819294e-08
"1. CID"	"1. T-B+ SCID"	"gc deficiency (common gamma chain SCID, CD132 deficiency)"	"IL2RG"	"XL"	3	"1 / 1 / 16 / 28"	"194 / 104 / 244 / 414"	"308380"	"https://alphafold.ebi.ac.uk/entry/P31785"	"P31785"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	NA	"borderline"	"low"	"low"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal to high"	"Low"	"Normal"	"Low NK"	194	104	244	414	1	1	16	28	4.03130240561134e-08	4.03130240561134e-08	1.61466061639324e-07	4.03130240561134e-08	1.00889542847719e-07
"1. CID"	"1. T-B+ SCID"	"IL7Ra deficiency"	"IL7R"	"AR"	12	"6 / 2 / 81 / 14"	"81 / 26 / 438 / 586"	"146661"	"https://alphafold.ebi.ac.uk/entry/P16871"	"P16871"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	NA	"borderline"	"low"	"low"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal to high"	"Low"	"Normal"	NA	81	26	438	586	6	2	81	14	2.49975555315371e-05	5.00469284764987e-05	0.000150244771251726	2.50136708556339e-05	7.50179408641793e-05
"1. CID"	"1. T-B+ SCID"	"ITPKB deficiency"	"ITPKB"	"AR"	3	"1 / 2 / 15 / 9"	"0 / 2 / 130 / 40"	NA	"https://alphafold.ebi.ac.uk/entry/P27987"	"P27987"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	"FTT"	"normal"	"low"	"low"	"mixed"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal"	"Low"	"Normal to low"	"Low Hb, low platelets, low neutrophils"	0	2	130	40	1	2	15	9	0.0424110146204189	1.51104945310287	2.35741565715395	0.776730233861646	1.93423255512841
"1. CID"	"1. T-B+ SCID"	"JAK3 deficiency"	"JAK3"	"AR"	12	"5 / 5 / 131 / 13"	"152 / 89 / 827 / 1528"	"600173"	"https://alphafold.ebi.ac.uk/entry/P52333"	"P52333"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	NA	"borderline"	"low"	"low"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Very low"	"Normal to high"	"Low"	"Normal"	"Low NK"	152	89	827	1528	5	5	131	13	6.35033120664029e-07	6.35696530397699e-07	2.54168733376832e-06	6.35297663156914e-07	7.94825059927433e-07
"1. CID"	"1. T-B+ SCID"	"LAT deficiency"	"LAT"	"AR"	1	"1 / 0 / 39 / 3"	"14 / 2 / 135 / 242"	"602354"	"https://alphafold.ebi.ac.uk/entry/O43561"	"O43561"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	"Adenopathy, splenomegaly, recurrent infections, autoimmunity"	"borderline"	"mixed"	"high"	"normal"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Nl to low number"	"Nl to low"	"High"	"Normal"	NA	14	2	135	242	1	0	39	3	2.142949366728e-07	2.142949366728e-07	2.142949366728e-07	2.142949366728e-07	2.142949366728e-07
"1. CID"	"1. T-B+ SCID"	"SLP76 deficiency"	"LCP2"	"AR"	1	"1 / 0 / 9 / 0"	"2 / 0 / 80 / 26"	NA	"https://alphafold.ebi.ac.uk/entry/Q13094"	"Q13094"	"HP:0002715; HP:0005403"	"Abnormality of the immune system; T lymphocytopenia"	279.2	"D81.2"	NA	"normal"	"low"	"low"	"defective"	NA	"1. Immunodeficiencies affecting cellular and humoral immunity"	NA	"Low T cells- mainly TEMRA and oligoconal"	"Normal"	"Low"	"Normal but dysfunctional"	"Reduced NK degranulation, platelet dysfunction"	2	0	80	26	1	0	9	0	9.799716529671e-09	9.799716529671e-09	9.799716529671e-09	9.799716529671e-09	9.799716529671e-09
