source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:MF	GO:0016887	ATP hydrolysis activity	5.3205834381168704e-14	True	"""Catalysis of the reaction: ATP + H2O = ADP + H+ phosphate. ATP hydrolysis is used in some reactions as an energy source, for example to catalyze a reaction or drive transport against a concentration gradient."" [RHEA:13065]"	411	19	12	20246	0.631578947368421	0.029197080291970802	query_1	['GO:0017111', 'GO:0140657']
GO:MF	GO:0140657	ATP-dependent activity	8.176689377065322e-12	True	"""A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."" [PMID:24878343, PMID:25750732, PMID:32933017, PMID:33818025, PMID:33873056, PMID:33988324]"	626	19	12	20246	0.631578947368421	0.019169329073482427	query_1	['GO:0003674']
GO:MF	GO:0017111	ribonucleoside triphosphate phosphatase activity	5.900987310739627e-10	True	"""Catalysis of the reaction: a ribonucleoside triphosphate + H2O = a ribonucleoside diphosphate + H+ + phosphate."" [RHEA:23680]"	1201	19	13	20246	0.6842105263157895	0.010824313072439634	query_1	['GO:0016462']
GO:MF	GO:0016462	pyrophosphatase activity	1.0962869104310968e-09	True	"""Catalysis of the hydrolysis of a pyrophosphate bond (diphosphate bond) between two phosphate groups."" [GOC:curators, https://en.wikipedia.org/wiki/Pyrophosphatase]"	1261	19	13	20246	0.6842105263157895	0.010309278350515464	query_1	['GO:0016818']
GO:MF	GO:0016817	hydrolase activity, acting on acid anhydrides	1.1073744143648188e-09	True	"""Catalysis of the hydrolysis of any acid anhydride."" [GOC:jl]"	1262	19	13	20246	0.6842105263157895	0.010301109350237718	query_1	['GO:0016787']
GO:MF	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	1.1073744143648188e-09	True	"""Catalysis of the hydrolysis of any acid anhydride which contains phosphorus."" [GOC:jl]"	1262	19	13	20246	0.6842105263157895	0.010301109350237718	query_1	['GO:0016817']
GO:CC	GO:0000793	condensed chromosome	7.138868478021105e-09	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."" [GOC:elh]"	285	19	8	22149	0.42105263157894735	0.028070175438596492	query_1	['GO:0005694']
GO:CC	GO:0000794	condensed nuclear chromosome	8.745808973890146e-09	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct nuclear chromosome."" [GOC:elh]"	82	19	6	22149	0.3157894736842105	0.07317073170731707	query_1	['GO:0000228', 'GO:0000793']
GO:MF	GO:0005524	ATP binding	1.1266021319837295e-08	True	"""Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [ISBN:0198506732]"	1516	19	13	20246	0.6842105263157895	0.008575197889182058	query_1	['GO:0032559', 'GO:0035639']
GO:BP	GO:0051276	chromosome organization	1.1949732801326925e-08	True	"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	574	18	10	21026	0.5555555555555556	0.017421602787456445	query_1	['GO:0006996']
