defense_uniprot_ac	human_uniprot_ac	composite_score	foldseek_evalue	pymol_rmsd	tm_score_human	tm_score_bacteria	plddt_human	plddt_bacteria	human_gene_name
Q47ZY9	Q8IZH9	0.9962	0.0	0.28	0.991	0.964	95.53	97.12	
A0A5B9E1W6	Q5QP19	0.9863	0.0	0.54	0.9237	0.9496	94.52	95.11	NFS1
Q47ZY9	Q8IZH8	0.9825	0.0	0.38	0.9645	0.8401	89.02	97.12	
Q47ZY9	P30793	0.9766	0.0	0.33	0.7219	0.9894	86.5	97.12	GCH1
W5Y3L4	H0YG54	0.9729	0.0	0.62	0.8879	0.8012	91.31	94.35	REXO2
I7LJ27	B4DT76	0.9698	0.0	0.67	0.8465	0.7792	91.96	94.79	
W5Y3L4	Q9Y3B8	0.9666	0.0	0.59	0.7518	0.8498	88.17	94.35	REXO2
A0A518G7R2	Q9Y697	0.9626	7.515e-15	0.53	0.8458	0.9738	88.72	93.7	NFS1
A0A518G7R2	Q53FP3	0.9626	7.515e-15	0.52	0.8465	0.9748	88.37	93.7	
A0A518G7R2	B2R5S3	0.9626	7.515e-15	0.51	0.8439	0.9715	88.53	93.7	
A0A3G9J6D0	B4DDP9	0.9617	7.515e-15	0.87	0.8697	0.9357	93.81	95.59	SCLY
Q16C13	B4DNL7	0.9615	2.251e-23	0.65	0.8907	0.5928	92.48	95.3	
A0A345HPF0	Q17R31	0.9593	0.0	1.55	0.8061	0.8939	96.16	95.27	TATDN3
A0A3G9J6D0	Q96I15	0.9578	7.515e-15	0.83	0.8168	0.9471	90.4	95.59	SCLY
A0A1D7QWY7	F2Z2E7	0.9573	5.587e-16	0.47	0.9813	0.5268	94.71	95.52	NFS1
L0L0B2	O95396	0.9571	2.706e-23	0.85	0.5096	0.9526	91.55	96.22	MOCS3
A0A127M5U3	Q2VPJ6	0.9565	2.114e-29	0.92	0.8637	0.7984	84.68	88.36	HSP90AA1
Z9JIC9	Q6P1N9	0.9563	0.0	1.61	0.7456	0.8774	97.98	96.65	TATDN1
A0A3G9J6D0	A0A0A0MQU4	0.9552	7.515e-15	0.88	0.8022	0.9463	89.18	95.59	SCLY
A0A7G1Q9R2	P08238	0.9547	8.482e-27	1.13	0.8337	0.9249	84.34	85.77	HSP90AB1
A0A127M5U3	P07900	0.9543	8.482e-27	1.3	0.8233	0.9468	85.22	88.36	HSP90AA1
A0A127M5U3	B4DGL0	0.9541	8.482e-27	1.26	0.8295	0.9311	84.49	88.36	
A0A127M5U3	K9JA46	0.9539	8.482e-27	1.28	0.8238	0.9474	84.08	88.36	EL52
A0A562WL79	Q9Y530	0.9539	0.0	1.19	0.8334	0.7473	93.45	87.79	OARD1
W5Y3L4	F5GYG5	0.9508	0.0	0.65	0.6865	0.7274	80.76	94.35	REXO2
A0A143HJQ2	Q6ICS7	0.9498	0.0	0.86	0.6624	0.74	86.21	93.01	DNMT2
L0L0B2	Q8TBC4	0.9494	4.579e-20	1.04	0.4919	0.9153	92.9	96.22	UBA3
A0A075TXM8	O14717	0.9493	0.0	1.12	0.66	0.8311	87.06	92.03	TRDMT1
I7LJ27	A0A7P0TA11	0.949	0.0	0.67	0.7286	0.634	81.81	94.79	RSAD2
A0A127M5U3	B4DMA2	0.9489	8.482e-27	1.27	0.8282	0.8942	80.31	88.36	
L0L0B2	B2RBP3	0.9487	4.579e-20	1.02	0.4908	0.9137	91.69	96.22	
A0A3E3EC96	P60842	0.9486	7.607e-31	1.05	0.8785	0.6714	87.05	85.92	EIF4A1
L0L0B2	J3JZZ9	0.9486	4.579e-20	1.03	0.4913	0.9146	91.67	96.22	UBE1C
