sapID	sapGO	repID	cluFlag	LCAtaxID
J3KRM4	GO:0016021;GO:0015267;	A0A013RMH7	3	131567
C9J222	GO:0043229;GO:0003677;GO:0003887;GO:0006281;	A0A014PHZ8	3	2759
C9JF34	GO:0043229;GO:0003677;GO:0003887;GO:0006281;	A0A014PHZ8	1	2759
F8WB78	GO:0043229;GO:0003677;GO:0003887;GO:0006281;	A0A014PHZ8	1	2759
F8WEJ1	GO:0043229;GO:0003677;GO:0003887;GO:0006281;	A0A014PHZ8	1	2759
Q6ZS12	GO:0016021;GO:0005886;GO:0022839;GO:0005267;	A0A015IFA8	1	33154
A0A0A0MSB8	GO:0000145;GO:0005546;GO:0006887;GO:0015031;	A0A015J8B4	1	131567
Q63HP7	GO:0000145;GO:0005546;GO:0006887;GO:0015031;	A0A015J8B4	1	131567
V9GYA4	GO:0003700;GO:0008630;GO:0000122;	A0A015JSV1	3	N/A
C9JSU7	GO:0016021;GO:0005524;GO:0004672;GO:0006468;	A0A015JUW1	1	131567
Q59EI2	GO:0005524;GO:0004672;GO:0006468;	A0A015JUW1	1	131567
B4DP31	GO:0000287;GO:0004749;GO:0009165;	A0A015JVX5	1	33154
H0UIA7	N/A	A0A015JZH7	1	2759
A0PJ99	GO:0000145;GO:0006887;	A0A015K0Q9	1	33154
B4DEQ4	GO:0005524;GO:0004672;GO:0006468;	A0A015K4U1	1	131567
Q9NT28	GO:0005524;GO:0004672;GO:0006468;	A0A015K4U1	3	131567
A0A087WTY2	GO:0004563;GO:0005975;	A0A015KIG8	1	2759
A0A0S2Z3M0	GO:0005764;GO:0004563;GO:0102148;GO:0005975;	A0A015KIG8	1	2759
A0A804HIC7	GO:0004563;GO:0005975;	A0A015KIG8	1	2759
H3BQ04	GO:0004563;GO:0005975;	A0A015KIG8	1	2759
H3BT62	GO:0004563;GO:0005975;	A0A015KIG8	1	2759
H3BVH8	GO:0004563;GO:0005975;	A0A015KIG8	1	2759
K7EKD8	GO:0005737;GO:0005886;GO:0005509;	A0A015L8I9	1	2759
K7ELJ7	GO:0005737;GO:0005886;GO:0005509;	A0A015L8I9	1	2759
