accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio	Protein_length_difference	neg_log(evalue_foldseek)	defense_system_protein_AF_file	protein_AF_file	PyMOL_aligned_filePath	PyMOL_RMSD	PyMOL_aligned_atoms
WP_088134449.1	Zorya	Zorya_TypeI	Vibrio gazogenes	GCF_002196515_NZ_CP018835_Zorya_TypeI_2	GCF_002196515.1_NZ_CP018835_03020	GCF_002196515.1_NZ_CP018835_03023	1	202	A0A1Z2SIB5	A0A2D9ZZN8	B3RZ88	B3KX68	0.03944	1	0.105	240	174	0.0	74	313	25	219	0.4865	17	unreviewed	B3KX68_HUMAN	Uracil nucleotide/cysteinyl leukotriene receptor (G-protein coupled receptor 17)		Homo sapiens (Human)							membrane [GO:0016020]	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020	cd15161; 7tmA_GPR17; 1.;	1.20.1070.10:FF:000152; uracil nucleotide/cysteinyl leukotriene receptor; 1.;	1.20.1070.10; Rhodopsin 7-helix transmembrane proteins; 1.;	"IPR000276; GPCR_Rhodpsn.;""IPR017452; GPCR_Rhodpsn_7TM."";"	"PTHR24232; G-PROTEIN COUPLED RECEPTOR; 1.;""PTHR24232:SF44; URACIL NUCLEOTIDE_CYSTEINYL LEUKOTRIENE RECEPTOR; 1."";"	PF00001; 7tm_1; 1.;	"PS00237; G_PROTEIN_RECEP_F1_1; 1.;""PS50262; G_PROTEIN_RECEP_F1_2; 1."";"			74.0..313.0	240	339	48..297	89.6	93.33	70.8	['G-protein coupled receptors family 1 profile']	['ECO:0000259|PROSITE:PS50262']	25.0..219.0	195	705							2.079646018	195.0	0.575221239	1.079646017699115	0.3129171553956293	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A1Z2SIB5_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B3KX68_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A1Z2SIB5_B3KX68_aligned.pse	58.947681	1474
WP_194472680.1	Zorya	Zorya_TypeI	Bradyrhizobium sp. CCBAU 51753	GCF_015291565_NZ_CP030037_Zorya_TypeI_2	GCF_015291565.1_NZ_CP030037_01028	GCF_015291565.1_NZ_CP030037_01031	1	202	A0A7S7QKU5	A0A511N283	A0A6J0HTD7	A8K5R6	0.2619	1	0.131	237	203	0.0	2	236	404	640	0.2287	22	unreviewed	A8K5R6_HUMAN	Golgi SNAP receptor complex member 1		Homo sapiens (Human)						endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]	cis-Golgi network [GO:0005801]; Golgi membrane [GO:0000139]	cis-Golgi network [GO:0005801]; Golgi membrane [GO:0000139]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]		GO:0000139; GO:0005801; GO:0006888; GO:0015031	cd15864; SNARE_GS28; 1.;			IPR023601; Golgi_SNAP_su1.;	"PTHR21094:SF2; GOLGI SNAP RECEPTOR COMPLEX MEMBER 1; 1.;""PTHR21094; GOS-28 SNARE- RELATED; 1."";"	PF12352; V-SNARE_C; 1.;				2.0..236.0	235	250							404.0..640.0	237	656							2.624	235.0	0.94	1.624	0.6407338353932515	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7S7QKU5_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A8K5R6_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A7S7QKU5_A8K5R6_aligned.pse	55.401657	1361
WP_101899834.1	Zorya	Zorya_TypeI	Legionella sainthelensi	GCF_002848365_NZ_CP025491_Zorya_TypeI_1	GCF_002848365.2_NZ_CP025491_00486	GCF_002848365.2_NZ_CP025491_00489	1	202	A0A2H5FKW7	A0A101WRB2	A0A832ZZN1	Q92889	2.124e-14	1	0.092	815	587	0.0	2	816	479	1126	3.946e-8	125	reviewed	XPF_HUMAN	DNA repair endonuclease XPF (EC 3.1.-.-) (DNA excision repair protein ERCC-4) (DNA repair protein complementing XP-F cells) (Xeroderma pigmentosum group F-complementing protein)	ERCC4 ERCC11 XPF	Homo sapiens (Human)			ERCC4	ERCC11 XPF	UP000005640: Chromosome 16	cellular response to UV [GO:0034644]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; negative regulation of protection from non-homologous end joining at telomere [GO:1905765]; negative regulation of telomere maintenance [GO:0032205]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]; regulation of autophagy [GO:0010506]; resolution of meiotic recombination intermediates [GO:0000712]; response to UV [GO:0009411]; telomere maintenance [GO:0000723]; telomeric DNA-containing double minutes formation [GO:0061819]; UV protection [GO:0009650]	chromosome, telomeric region [GO:0000781]; ERCC4-ERCC1 complex [GO:0070522]; nucleoplasm [GO:0005654]; nucleotide-excision repair complex [GO:0000109]; nucleotide-excision repair factor 1 complex [GO:0000110]; nucleus [GO:0005634]	chromosome, telomeric region [GO:0000781]; ERCC4-ERCC1 complex [GO:0070522]; nucleoplasm [GO:0005654]; nucleotide-excision repair complex [GO:0000109]; nucleotide-excision repair factor 1 complex [GO:0000110]; nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; DNA endonuclease activity [GO:0004520]; identical protein binding [GO:0042802]; promoter-specific chromatin binding [GO:1990841]; single-stranded DNA binding [GO:0003697]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; TFIID-class transcription factor complex binding [GO:0001094]; cellular response to UV [GO:0034644]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; negative regulation of protection from non-homologous end joining at telomere [GO:1905765]; negative regulation of telomere maintenance [GO:0032205]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]; regulation of autophagy [GO:0010506]; resolution of meiotic recombination intermediates [GO:0000712]; response to UV [GO:0009411]; telomere maintenance [GO:0000723]; telomeric DNA-containing double minutes formation [GO:0061819]; UV protection [GO:0009650]	damaged DNA binding [GO:0003684]; DNA endonuclease activity [GO:0004520]; identical protein binding [GO:0042802]; promoter-specific chromatin binding [GO:1990841]; single-stranded DNA binding [GO:0003697]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; TFIID-class transcription factor complex binding [GO:0001094]	GO:0000014; GO:0000109; GO:0000110; GO:0000712; GO:0000723; GO:0000724; GO:0000781; GO:0001094; GO:0003684; GO:0003697; GO:0004520; GO:0005634; GO:0005654; GO:0006281; GO:0006289; GO:0006303; GO:0009411; GO:0009650; GO:0010506; GO:0032205; GO:0034644; GO:0042802; GO:0061819; GO:0070522; GO:1901255; GO:1904357; GO:1905765; GO:1990841	cd20078; XPF_nuclease_XPF_euk; 1.;	"3.40.50.10130:FF:000002; DNA repair endonuclease XPF; 1.;""1.10.150.20:FF:000040; DNA repair endonuclease XPF isoform X2; 1."";"	"3.40.50.10130; -; 1.;""1.10.150.20; 5' to 3' exonuclease, C-terminal subdomain; 1."";"	"IPR006166; ERCC4_domain.;""IPR011335; Restrct_endonuc-II-like."";""IPR010994; RuvA_2-like."";""IPR006167; XPF."";""IPR047520; XPF_nuclease."";"	"PTHR10150; DNA REPAIR ENDONUCLEASE XPF; 1.;""PTHR10150:SF0; DNA REPAIR ENDONUCLEASE XPF; 1."";"	PF02732; ERCC4; 1.;		SM00891; ERCC4; 1.;	NP_005227.1; NM_005236.3. [Q92889-1];	2.0..816.0	815	916	683..763	100.0	9.94	88.97	['ERCC4']	[nan]	479.0..1126.0	648	1129	813..975	100.0	25.15	57.4	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	1.232532751	648.0	0.707423581	0.23253275109170302	7.403842919083827	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A2H5FKW7_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q92889_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A2H5FKW7_Q92889_aligned.pse	14.356499	1737
WP_089067948.1	Zorya	Zorya_TypeII	Shewanella bicestrii	GCF_002216875_NZ_CP022358_Zorya_TypeII_2	GCF_002216875.1_NZ_CP022358_02309	GCF_002216875.1_NZ_CP022358_02314	1	202	A0A220UN95	A0A1G4YFD5	A0A0L0D7H0	B2R6Q9	0.4507	1	0.064	28	22	0.0	32	59	44	68	3.492	1	unreviewed	B2R6Q9_HUMAN	Interferon gamma receptor 1 (Interferon gamma receptor alpha-chain)		Homo sapiens (Human)						type II interferon-mediated signaling pathway [GO:0060333]	membrane [GO:0016020]	membrane [GO:0016020]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; type II interferon-mediated signaling pathway [GO:0060333]	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]	GO:0004896; GO:0016020; GO:0019955; GO:0060333		"2.60.40.10:FF:001244; Interferon gamma receptor 1; 1.;""2.60.40.10:FF:001425; Interferon gamma receptor 1; 1."";"	2.60.40.10; Immunoglobulins; 2.;	"IPR003961; FN3_dom.;""IPR036116; FN3_sf."";""IPR021126; IFN_gamma_rc_D2_pox/mammal."";""IPR013783; Ig-like_fold."";""IPR008355; Interferon_gamma_rcpt_asu."";""IPR050650; Type-II_Cytokine-TF_Rcpt."";"	"PTHR20859:SF5; INTERFERON GAMMA RECEPTOR 1; 1.;""PTHR20859; INTERFERON/INTERLEUKIN RECEPTOR; 1."";"	"PF07140; IFNGR1_D2; 1.;""PF20634; IFNGR1_transm; 1."";""PF01108; Tissue_fac; 1."";"				32.0..59.0	28	489	21..112	30.43	100.0	5.73	['Fibronectin type-III']	['ECO:0000259|Pfam:PF01108']	44.0..68.0	25	372							0.760736196	25.0	0.067204301	0.23926380368098155	-0.543074235033532	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A220UN95_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B2R6Q9_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A220UN95_B2R6Q9_aligned.pse	7.259473	138
WP_015326780.1	Zorya	Zorya_TypeI	Halobacteroides halobius	GCF_000328625_NC_019978_Zorya_TypeI_2	GCF_000328625.1_NC_019978_01096	GCF_000328625.1_NC_019978_01099	1	202	L0K926	A0A2D9ZZN8	B3RZ88	Q7LBC9	0.03944	2	0.147	326	260	0.0	15	320	153	478	2.985	3	unreviewed	Q7LBC9_HUMAN	Vomeronasal type-1 receptor	FKSG47	Homo sapiens (Human)			FKSG47			response to pheromone [GO:0019236]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; pheromone receptor activity [GO:0016503]; response to pheromone [GO:0019236]	pheromone receptor activity [GO:0016503]	GO:0005886; GO:0016503; GO:0019236		1.20.1070.10:FF:000033; Vomeronasal type-1 receptor; 1.;		IPR004072; Vmron_rcpt_1.;	PTHR24062; VOMERONASAL TYPE-1 RECEPTOR; 1.;	PF03402; V1R; 1.;				15.0..320.0	306	334							153.0..478.0	326	652	144..226	89.16	22.7	50.0	['MotA/TolQ/ExbB proton channel']	['ECO:0000259|Pfam:PF01618']	1.952095808	306.0	0.916167665	0.9520958083832336	-0.4749443354653878	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/L0K926_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q7LBC9_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/L0K926_Q7LBC9_aligned.pse	59.475811	1646
WP_202636316.1	Zorya	Zorya_TypeI	Rugosibacter aromaticivorans	GCF_000934545_NZ_CP010554_Zorya_TypeI_2	GCF_000934545.1_NZ_CP010554_01011	GCF_000934545.1_NZ_CP010554_01014	1	202	A0A0C5JKT5	A0A6P2MMB1	A0A4Q9LAP2	Q92771	0.002253	1	0.097	635	362	0.0	245	879	656	1057	0.003598	47	reviewed	DDX12_HUMAN	Putative ATP-dependent DNA helicase DDX12 (EC 5.6.2.-) (CHL1-related protein 2) (hCHLR2) (DEAD/H box protein 12)	DDX12P CHLR2 DDX12	Homo sapiens (Human)			DDX12P	CHLR2 DDX12	UP000005640: Unplaced	establishment of sister chromatid cohesion [GO:0034085]; nucleobase-containing compound metabolic process [GO:0006139]	nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; establishment of sister chromatid cohesion [GO:0034085]; nucleobase-containing compound metabolic process [GO:0006139]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003677; GO:0003678; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0006139; GO:0016818; GO:0034085; GO:0046872; GO:0051536	cd18788; SF2_C_XPD; 1.;	"3.40.50.300:FF:001050; ATP-dependent DNA helicase DDX11; 1.;""3.40.50.300:FF:003220; ATP-dependent DNA helicase DDX11; 1."";""3.40.50.300:FF:000909; Putative ATP-dependent RNA helicase DDX11; 1."";"	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 3.;	"IPR006555; ATP-dep_Helicase_C.;""IPR045028; DinG/Rad3-like."";""IPR014013; Helic_SF1/SF2_ATP-bd_DinG/Rad3."";""IPR006554; Helicase-like_DEXD_c2."";""IPR027417; P-loop_NTPase."";""IPR010614; RAD3-like_helicase_DEAD."";""IPR013020; Rad3/Chl1-like."";"	"PTHR11472:SF41; ATP-DEPENDENT DNA HELICASE DDX11-RELATED; 1.;""PTHR11472; DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER; 1."";"	"PF06733; DEAD_2; 1.;""PF13307; Helicase_C_2; 1."";"	PS51193; HELICASE_ATP_BIND_2; 1.;	"SM00488; DEXDc2; 1.;""SM00491; HELICc2; 1."";"		245.0..879.0	635	950	28..464	50.34	34.65	66.84	['Helicase ATP-binding']	['ECO:0000255|PROSITE-ProRule:PRU00541']	656.0..1057.0	402	1254	934..1094	77.02	30.85	32.06	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	1.32	402.0	0.423157895	0.32000000000000006	2.443938840990467	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A0C5JKT5_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q92771_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A0C5JKT5_Q92771_aligned.pse	27.869669	2066
WP_105264014.1	Zorya	Zorya_TypeI	Escherichia marmotae	GCF_013732895_NZ_CP056159_Zorya_TypeI_4	GCF_013732895.1_NZ_CP056159_01837	GCF_013732895.1_NZ_CP056159_01840	1	202	A0A7H9K7G8	A0A2D9ZZN8	B3RZ88	Q9Y271	0.03944	2	0.132	295	196	0.0	23	317	131	357	0.2553	17	reviewed	CLTR1_HUMAN	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81)	CYSLTR1 CYSLT1	Homo sapiens (Human)			CYSLTR1	CYSLT1	UP000005640: Chromosome X	calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; chemotaxis [GO:0006935]; defense response [GO:0006952]; establishment of localization in cell [GO:0051649]; inflammatory response to antigenic stimulus [GO:0002437]; neuropeptide signaling pathway [GO:0007218]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; respiratory gaseous exchange by respiratory system [GO:0007585]	membrane [GO:0016020]; plasma membrane [GO:0005886]	membrane [GO:0016020]; plasma membrane [GO:0005886]; cysteinyl leukotriene receptor activity [GO:0001631]; G protein-coupled peptide receptor activity [GO:0008528]; leukotriene receptor activity [GO:0004974]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; chemotaxis [GO:0006935]; defense response [GO:0006952]; establishment of localization in cell [GO:0051649]; inflammatory response to antigenic stimulus [GO:0002437]; neuropeptide signaling pathway [GO:0007218]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; respiratory gaseous exchange by respiratory system [GO:0007585]	cysteinyl leukotriene receptor activity [GO:0001631]; G protein-coupled peptide receptor activity [GO:0008528]; leukotriene receptor activity [GO:0004974]	GO:0001631; GO:0002437; GO:0004974; GO:0005886; GO:0006816; GO:0006935; GO:0006952; GO:0007166; GO:0007204; GO:0007218; GO:0007585; GO:0008528; GO:0016020; GO:0051649	cd15158; 7tmA_CysLTR1; 1.;	1.20.1070.10:FF:000017; lysophosphatidic acid receptor 4; 1.;	1.20.1070.10; Rhodopsin 7-helix transmembrane proteins; 1.;	"IPR013310; CLT1_recept.;""IPR004071; Cyst_leuk_rcpt."";""IPR000276; GPCR_Rhodpsn."";""IPR017452; GPCR_Rhodpsn_7TM."";"	"PTHR24231:SF45; CYSTEINYL LEUKOTRIENE RECEPTOR 1; 1.;""PTHR24231; PURINOCEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR; 1."";"	PF00001; 7tm_1; 1.;	PS50262; G_PROTEIN_RECEP_F1_2; 1.;		"NP_001269115.1; NM_001282186.2.;""NP_001269116.1; NM_001282187.2."";""NP_001269117.1; NM_001282188.2."";""NP_006630.1; NM_006639.4."";"	23.0..317.0	295	337							131.0..357.0	227	851							2.525222552	227.0	0.673590504	1.5252225519287834	0.5929491851957497	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7H9K7G8_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q9Y271_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A7H9K7G8_Q9Y271_aligned.pse	57.49786	1489
WP_193003859.1	Zorya	Zorya_TypeII	Aeromonas simiae	GCF_014892695_NZ_CP040449_Zorya_TypeII_4	GCF_014892695.1_NZ_CP040449_01301	GCF_014892695.1_NZ_CP040449_01304	1	202	A0A5J6WTB4	A0A1T4LJB9	W7QDG2	A0A343LL07	0.5051	1	0.144	280	230	0.0	331	600	17	296	0.1184	28	unreviewed	A0A343LL07_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				331.0..600.0	270	603	134..419	31.12	32.96	44.78	['NADH:quinone oxidoreductase/Mrp antiporter transmembrane']	['ECO:0000259|Pfam:PF00361']	17.0..296.0	280	581							0.963515755	270.0	0.464716007	0.036484245439469265	0.926648297613099	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A5J6WTB4_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A343LL07_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A5J6WTB4_A0A343LL07_aligned.pse	67.340141	2475
WP_005598133.1	Zorya	Zorya_TypeII	Actinobacillus pleuropneumoniae	GCF_021957085_NZ_CP031865_Zorya_TypeII_1,GCF_021957045_NZ_CP031863_Zorya_TypeII_1	GCF_021957045.1_NZ_CP031863_01300,GCF_021957085.1_NZ_CP031865_01298	GCF_021957045.1_NZ_CP031863_01302,GCF_021957085.1_NZ_CP031865_01300	2	201	B4XH94	A0A1T4LJB9	W7QDG2	A0A3G5C9W2	0.5051	1	0.132	431	308	0.0	170	600	10	365	0.1218	16	unreviewed	A0A3G5C9W2_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				170.0..600.0	431	603	422..602	98.9	41.53	71.48	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	10.0..365.0	356	552	49..124	100.0	21.35	64.49	['MotA/TolQ/ExbB proton channel']	['ECO:0000259|Pfam:PF01618']	0.915422886	356.0	0.644927536	0.08457711442786064	0.9143527117031433	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B4XH94_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A3G5C9W2_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/B4XH94_A0A3G5C9W2_aligned.pse	77.937752	2433
WP_101899834.1	Zorya	Zorya_TypeI	Legionella sainthelensi	GCF_002848365_NZ_CP025491_Zorya_TypeI_1	GCF_002848365.2_NZ_CP025491_00486	GCF_002848365.2_NZ_CP025491_00489	1	202	A0A2H5FKW7	A0A101WRB2	E4YUU0	J3KT12	0.0000132	1	0.141	454	282	0.0	1	329	432	885	9.909e-9	160	unreviewed	J3KT12_HUMAN	RNA helicase (EC 3.6.4.13)	EIF4A1	Homo sapiens (Human)			EIF4A1		UP000005640: Chromosome 17			ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	GO:0003676; GO:0003724; GO:0003743; GO:0005524; GO:0016787	"cd18046; DEADc_EIF4AII_EIF4AI_DDX2; 1.;""cd18787; SF2_C_DEAD; 1."";"	3.40.50.300:FF:000089; Eukaryotic initiation factor 4A-II; 1.;	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 2.;	"IPR011545; DEAD/DEAH_box_helicase_dom.;""IPR044728; EIF4A_DEADc."";""IPR014001; Helicase_ATP-bd."";""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";""IPR000629; RNA-helicase_DEAD-box_CS."";""IPR014014; RNA_helicase_DEAD_Q_motif."";"	PTHR47958; ATP-DEPENDENT RNA HELICASE DBP3; 1.;	"PF00270; DEAD; 1.;""PF00271; Helicase_C; 1."";"	"PS00039; DEAD_ATP_HELICASE; 1.;""PS51192; HELICASE_ATP_BIND_1; 1."";""PS51194; HELICASE_CTER; 1."";""PS51195; Q_MOTIF; 1."";"	SM00487; DEXDc; 1.;		1.0..329.0	329	341	245..341	87.63	25.84	96.48	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	432.0..885.0	454	1129	813..975	44.79	16.08	40.21	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	3.31085044	329.0	0.964809384	2.310850439882698	8.003970171588923	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A2H5FKW7_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/J3KT12_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A2H5FKW7_J3KT12_aligned.pse	3.295927	1295
