accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio	Protein_length_difference	neg_log(evalue_foldseek)	defense_system_protein_AF_file	protein_AF_file	PyMOL_aligned_filePath	PyMOL_RMSD	PyMOL_aligned_atoms
WP_088134450.1	Zorya	Zorya_TypeI	Vibrio gazogenes	GCF_002196515_NZ_CP018835_Zorya_TypeI_2	GCF_002196515.1_NZ_CP018835_03020	GCF_002196515.1_NZ_CP018835_03023	1	202	A0A1Z2SID7	A0A1W9LKN2	A0A3Q0EX91	F5GZT0	0.066	1	0.11	298	249	0.0	96	376	35	332	0.03259	29	unreviewed	F5GZT0_HUMAN	Meiotic double-stranded break formation protein 1	MEI1	Homo sapiens (Human)			MEI1		UP000005640: Chromosome 22								1.25.10.10; Leucine-rich Repeat Variant; 1.;	"IPR011989; ARM-like.;""IPR016024; ARM-type_fold."";""IPR052133; Immune_Signaling-Apoptosis_Reg."";"	"PTHR12044; BCL2 INTERACTING MEDIATOR OF CELL DEATH; 1.;""PTHR12044:SF10; MEIOSIS INHIBITOR PROTEIN 1; 1."";"					96.0..376.0	281	506							35.0..332.0	298	487	27..453	69.79	100.0	61.19	['Zorya protein ZorC EH']	['ECO:0000259|Pfam:PF15611']	0.962450593	281.0	0.577002053	0.03754940711462451	1.4869156395348557	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A1Z2SID7_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/F5GZT0_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A1Z2SID7_F5GZT0_aligned.pse	18.0215	1734
WP_048884341.1	Zorya	Zorya_TypeI	Aurantiacibacter atlanticus	GCF_001077815_NZ_CP011310_Zorya_TypeI_1	GCF_001077815.2_NZ_CP011310_00104	GCF_001077815.2_NZ_CP011310_00107	1	202	A0A0H4VDC2	A0A101WRB2	L8LWH0	B3KPF2	0.8219	2	0.17	86	56	0.0	155	240	1116	1184	2.627	5	unreviewed	B3KPF2_HUMAN	dynamin GTPase (EC 3.6.5.5)		Homo sapiens (Human)						endocytosis [GO:0006897]	microtubule [GO:0005874]	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; endocytosis [GO:0006897]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0005874; GO:0006897	cd08771; DLP_1; 1.;	"1.20.120.1240:FF:000014; Dynamin 2b; 1.;""3.40.50.300:FF:000045; dynamin-1 isoform X2; 1."";"	"1.20.120.1240; Dynamin, middle domain; 1.;""3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1."";""2.30.29.30; Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB); 1."";"	"IPR022812; Dynamin.;""IPR001401; Dynamin_GTPase."";""IPR019762; Dynamin_GTPase_CS."";""IPR045063; Dynamin_N."";""IPR000375; Dynamin_stalk."";""IPR030381; G_DYNAMIN_dom."";""IPR027417; P-loop_NTPase."";""IPR011993; PH-like_dom_sf."";""IPR001849; PH_domain."";"	"PTHR11566; DYNAMIN; 1.;""PTHR11566:SF54; DYNAMIN-3; 1."";"	"PF01031; Dynamin_M; 1.;""PF00350; Dynamin_N; 1."";"	"PS00410; G_DYNAMIN_1; 1.;""PS51718; G_DYNAMIN_2; 1."";""PS50003; PH_DOMAIN; 1."";"	SM00053; DYNc; 1.;		155.0..240.0	86	555	28..294	32.21	100.0	15.5	['Dynamin-type G']	['ECO:0000259|PROSITE:PS51718']	1116.0..1184.0	69	1243							2.23963964	69.0	0.124324324	1.2396396396396399	-0.4194600727860702	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A0H4VDC2_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B3KPF2_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A0H4VDC2_B3KPF2_aligned.pse	24.708685	567
WP_013220829.1	Zorya	Zorya_TypeI	Nitrosococcus watsonii	GCF_000143085_NC_014315_Zorya_TypeI_1	GCF_000143085.1_NC_014315_01876	GCF_000143085.1_NC_014315_01879	1	202	D8K760	A0A2D9ZZN8	B3RZ88	Q99705	0.03944	1	0.083	363	301	0.0	88	416	1	363	0.5326	11	reviewed	MCHR1_HUMAN	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	MCHR1 GPR24 SLC1	Homo sapiens (Human)			MCHR1	GPR24 SLC1	UP000005640: Chromosome 22	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cell surface receptor signaling pathway [GO:0007166]; feeding behavior [GO:0007631]; G protein-coupled receptor signaling pathway [GO:0007186]; generation of precursor metabolites and energy [GO:0006091]; neuropeptide signaling pathway [GO:0007218]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	ciliary membrane [GO:0060170]; cilium [GO:0005929]; neuron projection [GO:0043005]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886]	ciliary membrane [GO:0060170]; cilium [GO:0005929]; neuron projection [GO:0043005]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; hormone binding [GO:0042562]; melanin-concentrating hormone receptor activity [GO:0030273]; neuropeptide binding [GO:0042923]; neuropeptide receptor activity [GO:0008188]; signaling receptor binding [GO:0005102]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cell surface receptor signaling pathway [GO:0007166]; feeding behavior [GO:0007631]; G protein-coupled receptor signaling pathway [GO:0007186]; generation of precursor metabolites and energy [GO:0006091]; neuropeptide signaling pathway [GO:0007218]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	G protein-coupled receptor activity [GO:0004930]; hormone binding [GO:0042562]; melanin-concentrating hormone receptor activity [GO:0030273]; neuropeptide binding [GO:0042923]; neuropeptide receptor activity [GO:0008188]; signaling receptor binding [GO:0005102]	GO:0004930; GO:0005102; GO:0005886; GO:0005929; GO:0006091; GO:0007166; GO:0007186; GO:0007193; GO:0007204; GO:0007218; GO:0007631; GO:0008188; GO:0030273; GO:0042562; GO:0042923; GO:0043005; GO:0051928; GO:0060170; GO:0097730	cd15338; 7tmA_MCHR1; 1.;	1.20.1070.10:FF:000115; Melanin-concentrating hormone receptor 1; 1.;	1.20.1070.10; Rhodopsin 7-helix transmembrane proteins; 1.;	"IPR000276; GPCR_Rhodpsn.;""IPR017452; GPCR_Rhodpsn_7TM."";""IPR008361; MCH_rcpt."";""IPR004047; MCHR1."";"	"PTHR24229:SF91; MELANIN-CONCENTRATING HORMONE RECEPTOR 1; 1.;""PTHR24229; NEUROPEPTIDES RECEPTOR; 1."";"	PF00001; 7tm_1; 1.;	PS50262; G_PROTEIN_RECEP_F1_2; 1.;		NP_005288.3; NM_005297.3.;	88.0..416.0	329	353							1.0..363.0	363	700							1.983002833	329.0	0.932011331	0.9830028328611897	0.27359883789707756	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/D8K760_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q99705_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/D8K760_Q99705_aligned.pse	55.255081	1707
WP_197743802.1	Zorya	Zorya_TypeII	Candidatus Nitrosacidococcus tergens	GCF_902810445_NZ_LR778175_Zorya_TypeII_1	GCF_902810445.1_NZ_LR778175_01043	GCF_902810445.1_NZ_LR778175_01045	1	202	A0A7G1QA30	A0A1T4LJB9	W7QDG2	A0A4Y6A8U9	0.5051	1	0.14	268	225	0.0	331	598	11	273	0.3117	17	unreviewed	A0A4Y6A8U9_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				331.0..598.0	268	603	422..602	97.79	66.04	44.44	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	11.0..273.0	263	702							1.164179104	263.0	0.43615257	0.16417910447761197	0.5062631977231602	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7G1QA30_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A4Y6A8U9_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A7G1QA30_A0A4Y6A8U9_aligned.pse	53.588127	2672
WP_013293076.1	Zorya	Zorya_TypeI	Gallionella capsiferriformans	GCF_000145255_NC_014394_Zorya_TypeI_5	GCF_000145255.1_NC_014394_01111	GCF_000145255.1_NC_014394_01113	1	202	D9SF39	D9SF39	A0A1M8ABR5	A8K8M9	0.4894	1	0.137	344	286	0.0	670	1013	4	335	1.619	7	unreviewed	A8K8M9_HUMAN	Cohesin subunit SA (SCC3 homolog) (Stromal antigen)		Homo sapiens (Human)						cell division [GO:0051301]; chromosome segregation [GO:0007059]; sister chromatid cohesion [GO:0007062]	chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; nucleus [GO:0005634]	chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; nucleus [GO:0005634]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; sister chromatid cohesion [GO:0007062]		GO:0000775; GO:0000785; GO:0005634; GO:0007059; GO:0007062; GO:0008278; GO:0051301		1.25.10.10:FF:000449; Cohesin subunit SA-3; 1.;		"IPR016024; ARM-type_fold.;""IPR039662; Cohesin_Scc3/SA."";""IPR056396; HEAT_SCC3-SA."";""IPR020839; SCD."";""IPR013721; STAG."";"	"PTHR11199:SF8; COHESIN SUBUNIT SA-3; 1.;""PTHR11199; STROMAL ANTIGEN; 1."";"	"PF24571; HEAT_SCC3-SA; 1.;""PF21581; SCD; 1."";""PF08514; STAG; 1."";"	PS51425; SCD; 1.;			670.0..1013.0	344	1225							4.0..335.0	332	527	29..456	71.73	92.47	63.0	['Zorya protein ZorC EH']	['ECO:0000259|Pfam:PF15611']	0.430204082	332.0	0.629981025	0.5697959183673469	-0.20924684875337374	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/D9SF39_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A8K8M9_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/D9SF39_A8K8M9_aligned.pse	21.680252	1781
WP_089067950.1	Zorya	Zorya_TypeII	Shewanella bicestrii	GCF_002216875_NZ_CP022358_Zorya_TypeII_2	GCF_002216875.1_NZ_CP022358_02309	GCF_002216875.1_NZ_CP022358_02314	1	202	A0A220UNN1	A0A1T4LJB9	W7QDG2	A0A1J0Q120	0.5051	1	0.127	278	239	0.0	327	601	14	291	0.3905	18	unreviewed	A0A1J0Q120_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				327.0..601.0	275	603	134..419	32.52	33.82	45.61	['NADH:quinone oxidoreductase/Mrp antiporter transmembrane']	['ECO:0000259|Pfam:PF00361']	14.0..291.0	278	583							0.966832504	275.0	0.471698113	0.03316749585406298	0.4083789617866808	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A220UNN1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A1J0Q120_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A220UNN1_A0A1J0Q120_aligned.pse	74.737221	2597
WP_100024372.1	Zorya	Zorya_TypeII	Fusobacterium pseudoperiodonticum	GCF_002763625_NZ_CP024699_Zorya_TypeII_2	GCF_002763625.1_NZ_CP024699_00499	GCF_002763625.1_NZ_CP024699_00501	1	202	A0A2D3NTI1	A0A1T4LJB9	W7QDG2	X5BVZ3	0.5051	1	0.094	414	325	0.0	243	602	22	435	0.2915	19	unreviewed	X5BVZ3_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				243.0..602.0	360	603	422..602	100.0	50.28	59.7	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	22.0..435.0	414	701							1.16252073	360.0	0.597014925	0.16252072968490872	0.5353614409049671	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A2D3NTI1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/X5BVZ3_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A2D3NTI1_X5BVZ3_aligned.pse	65.700874	2997
WP_000424158.1	Zorya	Zorya_TypeI	Vibrio cholerae	GCF_002749635_NZ_CP024162_Zorya_TypeI_2,GCF_001887515_NZ_CP013317_Zorya_TypeI_2,GCF_900205735_NZ_LT906614_Zorya_TypeI_2,GCF_002892855_NZ_CP025936_Zorya_TypeI_2,GCF_001887475_NZ_CP013307_Zorya_TypeI_2,GCF_003097695_NZ_CP028894_Zorya_TypeI_2,GCF_009799825_NZ_CP047059_Zorya_TypeI_2,GCF_001887455_NZ_CP013305_Zorya_TypeI_2,GCF_017948285_NZ_CP072847_Zorya_TypeI_2,GCF_003719755_NZ_CP033515_Zorya_TypeI_2,GCF_001887495_NZ_CP013309_Zorya_TypeI_2,GCF_019704255_NZ_AP024555_Zorya_TypeI_2,GCF_019704235_NZ_AP024553_Zorya_TypeI_2,GCF_001887435_NZ_CP013303_Zorya_TypeI_2,GCF_003063785_NZ_CP028827_Zorya_TypeI_2,GCF_019704215_NZ_AP024551_Zorya_TypeI_2,GCF_001887655_NZ_CP013313_Zorya_TypeI_2,GCF_015482825_NZ_CP064350_Zorya_TypeI_2,GCF_021431865_NZ_CP090399_Zorya_TypeI_2,GCF_001887415_NZ_CP013311_Zorya_TypeI_2,GCF_001250235_NZ_LT907989_Zorya_TypeI_2,GCF_009762985_NZ_CP046744_Zorya_TypeI_2,GCF_001887635_NZ_CP013315_Zorya_TypeI_2,GCF_002073335_NZ_CP020408_Zorya_TypeI_2,GCF_001887395_NZ_CP013301_Zorya_TypeI_2,GCF_019458445_NZ_CP080465_Zorya_TypeI_2,GCF_019704175_NZ_AP024547_Zorya_TypeI_2,GCF_019704195_NZ_AP024549_Zorya_TypeI_2,GCF_002997215_NZ_CP024867_Zorya_TypeI_2,GCF_003574155_NZ_AP018677_Zorya_TypeI_3	GCF_019458445.1_NZ_CP080465_01853,GCF_019704235.1_NZ_AP024553_01130,GCF_009762985.1_NZ_CP046744_00455,GCF_001887395.1_NZ_CP013301_01712,GCF_021431865.1_NZ_CP090399_01093,GCF_003574155.1_NZ_AP018677_02163,GCF_001887515.1_NZ_CP013317_01684,GCF_019704255.1_NZ_AP024555_01764,GCF_001887415.1_NZ_CP013311_01705,GCF_001887435.1_NZ_CP013303_01710,GCF_001887495.1_NZ_CP013309_00018,GCF_001887475.1_NZ_CP013307_01298,GCF_015482825.1_NZ_CP064350_01464,GCF_001887455.1_NZ_CP013305_01710,GCF_019704175.1_NZ_AP024547_01377,GCF_003063785.1_NZ_CP028827_01099,GCF_001887655.1_NZ_CP013313_01737,GCF_001887635.1_NZ_CP013315_01128,GCF_900205735.1_NZ_LT906614_01707,GCF_001250235.2_NZ_LT907989_01707,GCF_002073335.2_NZ_CP020408_00586,GCF_009799825.1_NZ_CP047059_01099,GCF_017948285.1_NZ_CP072847_01508,GCF_019704215.1_NZ_AP024551_01149,GCF_003719755.1_NZ_CP033515_01102,GCF_002892855.1_NZ_CP025936_01509,GCF_003097695.1_NZ_CP028894_01509,GCF_002749635.1_NZ_CP024162_01705,GCF_019704195.1_NZ_AP024549_01386,GCF_002997215.1_NZ_CP024867_01508	GCF_001887415.1_NZ_CP013311_01708,GCF_009799825.1_NZ_CP047059_01102,GCF_001887455.1_NZ_CP013305_01713,GCF_019704215.1_NZ_AP024551_01152,GCF_001887475.1_NZ_CP013307_01301,GCF_001887655.1_NZ_CP013313_01740,GCF_003097695.1_NZ_CP028894_01512,GCF_001887515.1_NZ_CP013317_01687,GCF_001887395.1_NZ_CP013301_01715,GCF_002892855.1_NZ_CP025936_01512,GCF_003574155.1_NZ_AP018677_02166,GCF_019704255.1_NZ_AP024555_01767,GCF_019704195.1_NZ_AP024549_01389,GCF_019458445.1_NZ_CP080465_01856,GCF_021431865.1_NZ_CP090399_01096,GCF_003719755.1_NZ_CP033515_01105,GCF_019704235.1_NZ_AP024553_01133,GCF_009762985.1_NZ_CP046744_00458,GCF_900205735.1_NZ_LT906614_01710,GCF_001887495.1_NZ_CP013309_00021,GCF_001250235.2_NZ_LT907989_01710,GCF_017948285.1_NZ_CP072847_01511,GCF_002997215.1_NZ_CP024867_01511,GCF_015482825.1_NZ_CP064350_01467,GCF_002749635.1_NZ_CP024162_01708,GCF_003063785.1_NZ_CP028827_01102,GCF_002073335.2_NZ_CP020408_00589,GCF_001887635.1_NZ_CP013315_01131,GCF_019704175.1_NZ_AP024547_01380,GCF_001887435.1_NZ_CP013303_01713	30	173	C3LN80	A0A101WRB2	H0EHT0	A0A0D9SF92	0.0005163	3	0.272	109	71	0.0	14	112	863	971	0.00002068	157	unreviewed	A0A0D9SF92_HUMAN	Chromodomain helicase DNA binding protein 2	CHD2	Homo sapiens (Human)			CHD2		UP000005640: Chromosome 15	chromatin remodeling [GO:0006338]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; chromatin remodeling [GO:0006338]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	GO:0005524; GO:0006338; GO:0016787	cd18793; SF2_C_SNF; 1.;		3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1.;	"IPR001650; Helicase_C-like.;""IPR027417; P-loop_NTPase."";""IPR049730; SNF2/RAD54-like_C."";"	"PTHR45623:SF19; CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 2; 1.;""PTHR45623; CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 3-RELATED-RELATED; 1."";"	PF00271; Helicase_C; 1.;	PS51194; HELICASE_CTER; 1.;	SM00490; HELICc; 1.;		14.0..112.0	99	113	1..113	87.61	100.0	87.61	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	863.0..971.0	109	1149	822..985	66.46	100.0	9.49	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	10.16814159	99.0	0.876106195	9.168141592920353	4.684449465578095	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/C3LN80_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A0D9SF92_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/C3LN80_A0A0D9SF92_aligned.pse	1.001037	471
WP_005598133.1	Zorya	Zorya_TypeII	Actinobacillus pleuropneumoniae	GCF_021957085_NZ_CP031865_Zorya_TypeII_1,GCF_021957045_NZ_CP031863_Zorya_TypeII_1	GCF_021957045.1_NZ_CP031863_01300,GCF_021957085.1_NZ_CP031865_01298	GCF_021957045.1_NZ_CP031863_01302,GCF_021957085.1_NZ_CP031865_01300	2	201	B4XH94	A0A1T4LJB9	W7QDG2	A0A1S6NAW2	0.5051	1	0.122	431	312	0.0	170	600	10	365	0.1154	17	unreviewed	A0A1S6NAW2_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				170.0..600.0	431	603	422..602	98.9	41.53	71.48	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	10.0..365.0	356	552	49..124	100.0	21.35	64.49	['MotA/TolQ/ExbB proton channel']	['ECO:0000259|Pfam:PF01618']	0.915422886	356.0	0.644927536	0.08457711442786064	0.9377941911802873	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B4XH94_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A1S6NAW2_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/B4XH94_A0A1S6NAW2_aligned.pse	78.316628	2464
WP_011397431.1	Zorya	Zorya_TypeI	Hahella chejuensis	GCF_000012985_NC_007645_Zorya_TypeI_6	GCF_000012985.1_NC_007645_03255	GCF_000012985.1_NC_007645_03258	1	202	Q2SG61	A0A2D9ZZN8	B3RZ88	Q6NWR6	0.03944	1	0.14	244	203	0.0	79	315	16	259	0.4158	15	unreviewed	Q6NWR6_HUMAN	GPR68 protein	GPR68	Homo sapiens (Human)			GPR68				plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886	cd15367; 7tmA_GPR68_OGR1; 1.;	1.20.1070.10:FF:000065; G-protein coupled receptor 4; 1.;	1.20.1070.10; Rhodopsin 7-helix transmembrane proteins; 1.;	"IPR000276; GPCR_Rhodpsn.;""IPR017452; GPCR_Rhodpsn_7TM."";""IPR005389; OGR1_rcpt."";"	"PTHR24234; LYSOPHOSPHATIDIC ACID RECEPTOR 5/SPHINGOSYLPHOSPHORYLCHOLINE RECEPTOR; 1.;""PTHR24234:SF5; OVARIAN CANCER G-PROTEIN COUPLED RECEPTOR 1; 1."";"	PF00001; 7tm_1; 1.;	"PS00237; G_PROTEIN_RECEP_F1_1; 1.;""PS50262; G_PROTEIN_RECEP_F1_2; 1."";"			79.0..315.0	237	365	38..286	83.53	87.76	64.93	['G-protein coupled receptors family 1 profile']	['ECO:0000259|PROSITE:PS50262']	16.0..259.0	244	666							1.824657534	237.0	0.649315068	0.8246575342465754	0.3811155150045496	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q2SG61_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q6NWR6_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/Q2SG61_Q6NWR6_aligned.pse		
