entryID	repID	eValue
A0A009E921	A0A009E921	1310605
A0A009F5K6	A0A009E921	1310605
A0A009E9H3	A0A009E9H3	1310605
A0A484ZLT0	A0A009E9H3	82979
A0A009ECR5	A0A009ECR5	1310605
A0A0B8QNT1	A0A009ECR5	1481914
A0A0S7XD90	A0A009ECR5	1703781
A0A0S8CWA8	A0A009ECR5	1703401
A0A0T6AEW7	A0A009ECR5	1640514
A0A1F9L557	A0A009ECR5	1797905
A0A1F9NR88	A0A009ECR5	1797913
A0A1J5EQL4	A0A009ECR5	1805129
A0A1M7Y1N4	A0A009ECR5	1121416
A0A1Q6DQM1	A0A009ECR5	1920419
A0A1V6G0B8	A0A009ECR5	1852902
A0A1Z8SKZ2	A0A009ECR5	1986839
A0A2C5YAH9	A0A009ECR5	2004952
A0A2E6ESH1	A0A009ECR5	2026788
A0A2H6GKD2	A0A009ECR5	2005722
A0A2M7C880	A0A009ECR5	1973969
A0A2N2GL77	A0A009ECR5	2013753
A0A2N6BIC5	A0A009ECR5	2026735
A0A2N6BYH5	A0A009ECR5	2053307
A0A3A6N7B2	A0A009ECR5	895
A0A3C0VJ18	A0A009ECR5	2026780
A0A3M1D404	A0A009ECR5	2026735
A0A3M1F1W6	A0A009ECR5	2026735
A0A3M1Z1C6	A0A009ECR5	2080303
A0A3N5EXZ7	A0A009ECR5	2053307
A0A432IFR6	A0A009ECR5	1879010
A0A432QLQ6	A0A009ECR5	895
A0A432QNZ9	A0A009ECR5	2066021
A0A4P5VQQ2	A0A009ECR5	2026735
A0A521G5G9	A0A009ECR5	2005002
A0A522BIW4	A0A009ECR5	1869227
A0A523J5M7	A0A009ECR5	2026735
A0A6H9L5A2	A0A009ECR5	2212469
A0A7C1GAB3	A0A009ECR5	2049433
A0A7C3LD06	A0A009ECR5	2044940
A0A7J5VN44	A0A009ECR5	2053307
A0A7W0ELA7	A0A009ECR5	2053307
A0A7Z9YXM4	A0A009ECR5	2044940
T2BNM4	A0A009ECR5	235443
A0A009EPC4	A0A009EPC4	1310605
A0A2N6FVY5	A0A009EPC4	1872629
