defense_system_protein_id,defense_system_cluster_id,cluster_id,protein_id,evalue,cluFlag
A0A160PE62,A0A2V2RJT9,A0A6I4AZW5,E6Y8C6,2.216E-04,1
A0A160PE62,A0A2V2RJT9,A0A6I4AZW5,P14222,2.216E-04,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,A0A024RA58,2.422E-05,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,A0A2R8Y5J4,2.422E-05,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,A4FTY0,2.422E-05,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,A8K410,2.422E-05,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,G3V1A6,2.422E-05,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,O60443,2.422E-05,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,P57764,2.422E-05,1
A0A160PE62,A0A2V2RJT9,A0A811ZZM7,Q9BYG8,2.422E-05,1
A0A160PE62,A0A2V2RJT9,H2YAV0,Q8N5U0,1.086E-03,1
A0A162CPX3,A0A371D7X5,A0A6I4AZW5,E6Y8C6,9.995E-02,1
A0A162CPX3,A0A371D7X5,A0A6I4AZW5,P14222,9.995E-02,1
A0A162CPX3,A0A371D7X5,H2YAV0,Q8N5U0,8.774E-03,1
A0A3A9VHL1,A0A4Q1CFA1,A0A2R8QV48,Q0ZLH3,3.440E-03,1
A0A3A9VHL1,A0A4Q1CFA1,A0A3B4WVX2,A0A2R8Y564,2.487E-04,3
A0A3A9VHL1,A0A4Q1CFA1,A0A3B4WVX2,E9PIB2,2.487E-04,1
A0A3A9VHL1,A0A4Q1CFA1,A0A6I4AZW5,E6Y8C6,4.637E-03,1
A0A3A9VHL1,A0A4Q1CFA1,A0A6I4AZW5,P14222,4.637E-03,1
A0A3A9VHL1,A0A4Q1CFA1,G3VTC1,C9JSR4,2.781E-04,2
A0A3A9VHL1,A0A4Q1CFA1,H2YAV0,Q8N5U0,4.350E-04,1
A0A3A9VJ42,A0A371D7X5,A0A6I4AZW5,E6Y8C6,9.995E-02,1
A0A3A9VJ42,A0A371D7X5,A0A6I4AZW5,P14222,9.995E-02,1
A0A3A9VJ42,A0A371D7X5,H2YAV0,Q8N5U0,8.774E-03,1
A0A3G3GXX0,A0A371D7X5,A0A6I4AZW5,E6Y8C6,9.995E-02,1
A0A3G3GXX0,A0A371D7X5,A0A6I4AZW5,P14222,9.995E-02,1
