Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A059DVQ8	unreviewed	A0A059DVQ8_9PROT	Reverse transcriptase domain-containing protein	HY36_11665	Hyphomonas atlantica corrig	643
A0A074KSF0	unreviewed	A0A074KSF0_9BACT	Reverse transcriptase domain-containing protein	EL17_21035	Anditalea andensis	653
A0A096AWC2	unreviewed	A0A096AWC2_9BACT	DNA polymerase	HMPREF9302_09010	Prevotella amnii DNF00058	729
A0A0A0EGA9	unreviewed	A0A0A0EGA9_9RHOB	Reverse transcriptase domain-containing protein	ATO9_11360	Pseudooceanicola atlanticus	529
A0A0C4WJG8	unreviewed	A0A0C4WJG8_9GAMM	Reverse transcriptase (RNA-dependent DNA polymerase)	Achr_5060	Azotobacter chroococcum NCIMB 8003	652
A0A0C5WWT6	unreviewed	A0A0C5WWT6_9GAMM	Reverse transcriptase domain-containing protein	H744_2c0838	Photobacterium gaetbulicola Gung47	648
A0A0D7W798	unreviewed	A0A0D7W798_9FLAO	Reverse transcriptase	PW52_12935	Neotamlana sedimentorum	713
A0A0H5D1B8	unreviewed	A0A0H5D1B8_9RHOB	Retron-type reverse transcriptase	NIT7321_01662	Phaeobacter italicus	592
A0A0J1CPJ5	unreviewed	A0A0J1CPJ5_9BURK	Reverse transcriptase domain-containing protein	EOS_31505	Caballeronia mineralivorans PML1(12)	488
A0A0J7Y602	unreviewed	A0A0J7Y602_9SPHN	Reverse transcriptase domain-containing protein	V473_08900	Sphingobium cupriresistens LL01	649
A0A0J8GYI4	unreviewed	A0A0J8GYI4_9ALTE	Reverse transcriptase domain-containing protein	XM47_07265	Catenovulum maritimum	696
A0A0K1XE42	unreviewed	A0A0K1XE42_9GAMM	ABC transporter ATP-binding protein	AKN88_05975	Thiopseudomonas alkaliphila	683
A0A0M0I2F2	unreviewed	A0A0M0I2F2_9VIBR	Reverse transcriptase domain-containing protein	AKJ31_05720	Vibrio hepatarius	656
A0A0M2R1Q1	unreviewed	A0A0M2R1Q1_9PROT	Reverse transcriptase domain-containing protein	WH95_16370	Kiloniella litopenaei	705
A0A0M7BER5	unreviewed	A0A0M7BER5_9RHOB	Retron-type reverse transcriptase	JSE7799_02593	Jannaschia seosinensis	594
A0A0S2KLF0	unreviewed	A0A0S2KLF0_9BACT	DNA polymerase	AS203_07510	Hoylesella enoeca	727
A0A135P832	unreviewed	A0A135P832_9HYPH	Reverse transcriptase	ATO67_18210	Agrobacterium bohemicum	690
A0A162ZRI7	unreviewed	A0A162ZRI7_9FLAO	Reverse transcriptase domain-containing protein	AWE51_10085	Aquimarina aggregata	719
A0A174F109	unreviewed	A0A174F109_9BACE	RNA-directed DNA polymerase	NXY30_10130	Bacteroides faecis	730
A0A177N2D2	unreviewed	A0A177N2D2_9GAMM	Reverse transcriptase domain-containing protein	A1355_01090	Methylomonas koyamae	656
A0A1G7ZAS8	unreviewed	A0A1G7ZAS8_9FLAO	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN04488062_1042	Flavobacterium omnivorum	610
A0A1H1PVM3	unreviewed	A0A1H1PVM3_9CELL	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN04489860_0913	Paraoerskovia marina	680
A0A1H1XEE4	unreviewed	A0A1H1XEE4_9PSED	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN05216598_3869	Pseudomonas asplenii	669
A0A1H2XSH1	unreviewed	A0A1H2XSH1_9FLAO	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN04487892_2804	Flagellimonas zhangzhouensis	743
A0A1H3VEV9	unreviewed	A0A1H3VEV9_9FLAO	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN05421540_10152	Psychroflexus halocasei	757
A0A1H5XBT7	unreviewed	A0A1H5XBT7_9BACT	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN03080598_02441	Algoriphagus boritolerans DSM 17298 = JCM 18970	695
A0A1H8UX75	unreviewed	A0A1H8UX75_9GAMM	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN04488052_108115	Aquisalimonas asiatica	663
A0A1I2DZ44	unreviewed	A0A1I2DZ44_9RHOB	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN04515678_11939	Roseivivax sediminis	638
A0A1I7EDA5	unreviewed	A0A1I7EDA5_9RHOB	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN05216236_1761	Sedimentitalea nanhaiensis	693
