Bacterial Entry	Human Entry	Bacterial Chain	Human Chain	Bacterial Sequence Length	Human Sequence Length	Bacterial Modeled Residues	Human Modeled Residues	RMSD	TM-score	Identity	Aligned Residues
AF-A0A6P1GFG5-F1	AF-Q17R31-F1	A	A	253	274	253	274	2.32	0.86	0.22	235
AF-A0A2K8UJG1-F1	AF-A0A7P0TA11-F1	A	A	284	239	284	239	2.7	0.64	0.32	186
AF-A0A5B9Y4K1-F1	AF-Q6ICS7-F1	A	A	381	391	381	391	2.72	0.68	0.19	265
AF-D5EID4-F1	AF-A0A7P0TA11-F1	A	A	310	239	310	239	2.75	0.61	0.33	188
AF-A0A5B9Y4K1-F1	AF-O14717-F1	A	A	381	391	381	391	2.83	0.68	0.19	265
AF-A0A414Z6D3-F1	AF-B4DY67-F1	A	A	469	496	469	496	2.84	0.72	0.11	351
AF-A0A5B9D673-F1	AF-A0A7P0TA11-F1	A	A	288	239	288	239	2.88	0.64	0.23	188
AF-G8X4N1-F1	AF-A0A7P0T9U2-F1	A	A	341	298	341	298	3.13	0.58	0.25	204
AF-A0A0M2KG49-F1	AF-O14717-F1	A	A	379	391	379	391	3.39	0.68	0.19	263
AF-A0A1A9K893-F1	AF-A0A7P0T9U2-F1	A	A	328	298	328	298	3.45	0.57	0.21	188
AF-C1J0P2-F1	AF-O14717-F1	A	A	392	391	392	391	3.51	0.66	0.19	256
AF-Q3Y0J6-F1	AF-O43598-F1	A	A	161	174	161	174	3.63	0.65	0.13	115
AF-A0A2J5C9H7-F1	AF-C9J168-F1	A	A	191	230	191	230	3.94	0.54	0.12	112
AF-A7MEH1-F1	AF-B3KX98-F1	A	A	1080	882	1080	882	4.01	0.29	0.21	283
AF-A0A0U1RHB2-F1	AF-A0A669KBB4-F1	A	A	548	568	548	568	4.03	0.48	0.13	264
AF-F6FPD4-F1	AF-Q9H4L7-F1	A	A	1005	1026	1005	1026	4.23	0.47	0.23	443
AF-A0A5C0DWF7-F1	AF-Q9HCK5-F1	A	A	722	861	722	861	4.55	0.48	0.11	315
AF-A0A3S0HN58-F1	AF-A8MPP1-F1	A	A	624	907	624	907	4.75	0.73	0.15	414
AF-A0A0C7K942-F1	AF-Q9H8B9-F1	A	A	1168	774	1168	774	4.75	0.42	0.19	392
AF-Q9RFR9-F1	AF-A0A6Q8PGA3-F1	A	A	577	690	577	690	6.1	0.52	0.1	228
AF-Q9RFR9-F1	AF-A0A6Q8PFJ4-F1	A	A	577	808	577	808	6.32	0.59	0.1	244
AF-A0A806FWR7-F1	AF-B3KMB1-F1	A	A	1165	1197	1165	1197	6.79	0.33	0.09	254
AF-A0A411A3U6-F1	AF-Q96SB8-F1	A	A	1071	1091	1071	1091	6.97	0.33	0.12	209
AF-A0A411A3U6-F1	AF-A0A2S1ZR87-F1	A	A	1071	1091	1071	1091	7.17	0.34	0.12	202
AF-B8DW98-F1	AF-B0AZQ4-F1	A	A	1165	1217	1165	1217	7.25	0.34	0.1	219
AF-B8DW98-F1	AF-A8K984-F1	A	A	1165	1197	1165	1197	7.79	0.36	0.1	224
