defense_system_protein_id,defense_system_cluster_id,cluster_id,protein_id,evalue,cluFlag
A0A009HRP8,A0A1W9LKN2,A0A3Q0EX91,A0A7I2V487,6.600E-02,1
A0A009HRP8,A0A1W9LKN2,A0A3Q0EX91,A8K7D9,6.600E-02,1
A0A009HRP8,A0A1W9LKN2,A0A3Q0EX91,B7Z979,6.600E-02,2
A0A009HRP8,A0A1W9LKN2,A0A3Q0EX91,F5GZT0,6.600E-02,1
A0A009HRP8,A0A1W9LKN2,A0A3Q0EX91,P52292,6.600E-02,1
A0A009HRP8,A0A1W9LKN2,A0A3Q0EX91,Q7Z726,6.600E-02,1
A0A060NPF2,Q1PZJ0,,,,
A0A060NRR1,D9SF39,A0A180GNY2,A0A024RB67,2.646E-01,2
A0A060NRR1,D9SF39,A0A1M8ABR5,A8K607,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,A8K8M9,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,B2RU25,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,B4DYS8,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,D6W5U7,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,E7ESC6,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,Q546R4,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,Q9H2T7,4.894E-01,2
A0A060NRR1,D9SF39,A0A1M8ABR5,Q9UIA9,4.894E-01,1
A0A060NRR1,D9SF39,A0A1M8ABR5,Q9UJ98,4.894E-01,1
A0A060NRR1,D9SF39,A0A2Y9HNG4,A0A0A0MSD2,5.834E-01,1
A0A060NRR1,D9SF39,A0A2Y9HNG4,A0A0C4DFM4,5.834E-01,1
A0A060NRR1,D9SF39,A0A2Y9HNG4,Q96LZ7,5.834E-01,2
A0A060NRR1,D9SF39,A0A5A9NNW5,B2RTX8,5.583E-01,1
A0A060NRR1,D9SF39,A0A5A9NNW5,Q7Z5K2,5.583E-01,2
A0A060NRR1,D9SF39,A0A6P3Z2A8,A0A7P0T8V1,7.267E-01,3
A0A060NRR1,D9SF39,A0A6P3Z2A8,B3KS06,7.267E-01,1
A0A060NRR1,D9SF39,A0A7S3DAL3,Q9UID3,7.934E-01,2
A0A060NRR1,D9SF39,A0A7S3TYZ7,A0A384MDT0,3.444E-01,1
A0A060NRR1,D9SF39,A0A7S3TYZ7,A8K8U1,3.444E-01,1
A0A060NRR1,D9SF39,A0A7S3TYZ7,O75155,3.444E-01,1
A0A060NRR1,D9SF39,A0A7S3TYZ7,Q6ZUA9,3.444E-01,1
A0A060NRR1,D9SF39,A0A7S3TYZ7,Q86VP6,3.444E-01,1
A0A060NRR1,D9SF39,U3JMY2,A0A024R3X5,2.423E-01,1
A0A060NRR1,D9SF39,U3JMY2,B3KMB8,2.423E-01,1
A0A060NRR1,D9SF39,U3JMY2,Q7L8L6,2.423E-01,1
A0A060NRR1,D9SF39,U3JMY2,Q9NYY8,2.423E-01,1
A0A062GIN9,A0A1W9LKN2,A0A3Q0EX91,A0A7I2V487,6.600E-02,1
A0A062GIN9,A0A1W9LKN2,A0A3Q0EX91,A8K7D9,6.600E-02,1
A0A062GIN9,A0A1W9LKN2,A0A3Q0EX91,B7Z979,6.600E-02,2
A0A062GIN9,A0A1W9LKN2,A0A3Q0EX91,F5GZT0,6.600E-02,1
A0A062GIN9,A0A1W9LKN2,A0A3Q0EX91,P52292,6.600E-02,1
A0A062GIN9,A0A1W9LKN2,A0A3Q0EX91,Q7Z726,6.600E-02,1
A0A062GSQ6,A0A7S4UXI5,A0A060YJZ2,X6RH27,1.049E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A067PJA5,D6R9L2,3.157E-02,1
A0A062GSQ6,A0A7S4UXI5,A0A0C9TXH5,Q9NPP9,7.653E-10,3
A0A062GSQ6,A0A7S4UXI5,A0A0D0B8K2,Q4W5H1,4.254E-09,3
A0A062GSQ6,A0A7S4UXI5,A0A152A4U6,F8WCT9,8.776E-07,1
A0A062GSQ6,A0A7S4UXI5,A0A183U301,B4DL69,1.340E-04,1
A0A062GSQ6,A0A7S4UXI5,A0A183U301,Q59FQ9,1.340E-04,1
A0A062GSQ6,A0A7S4UXI5,A0A183U301,Q68DY7,1.340E-04,2
A0A062GSQ6,A0A7S4UXI5,A0A1A6HZA8,C9J6K1,5.215E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A1A6HZA8,H7BZS0,5.215E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A1D2AEE3,A0A2R8YDW2,5.547E-09,1
A0A062GSQ6,A0A7S4UXI5,A0A1F7XTL3,B3KUC1,1.014E-02,1
A0A062GSQ6,A0A7S4UXI5,A0A1G3P2F3,B4DPN5,4.333E-09,1
A0A062GSQ6,A0A7S4UXI5,A0A1G3P2F3,Q59HB6,4.333E-09,1
A0A062GSQ6,A0A7S4UXI5,A0A1G3P2F3,Q8N6J1,4.333E-09,1
A0A062GSQ6,A0A7S4UXI5,A0A1G3P2F3,Q9UF71,4.333E-09,1
A0A062GSQ6,A0A7S4UXI5,A0A1M7BMC5,A0A024QZ90,1.313E-02,1
A0A062GSQ6,A0A7S4UXI5,A0A1M7BMC5,Q69YM2,1.313E-02,1
A0A062GSQ6,A0A7S4UXI5,A0A1W0WKH5,B1AM48,9.019E-01,3
A0A062GSQ6,A0A7S4UXI5,A0A2D7ICJ8,A0A087X072,7.122E-03,2
A0A062GSQ6,A0A7S4UXI5,A0A2J8RXC2,C9J7Z8,8.023E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A2J8RXC2,I3L3D9,8.023E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A2J8RXC2,I3L509,8.023E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A2N0LSV5,Q59F09,1.552E-01,3
A0A062GSQ6,A0A7S4UXI5,A0A2S9XB55,Q53G15,6.328E-02,1
A0A062GSQ6,A0A7S4UXI5,A0A2V2KXY9,F6T542,7.007E-05,1
A0A062GSQ6,A0A7S4UXI5,A0A2X0MI13,B7ZBU3,4.603E-06,1
A0A062GSQ6,A0A7S4UXI5,A0A2X0MI13,Q5T1W1,4.603E-06,1
A0A062GSQ6,A0A7S4UXI5,A0A352VW23,X6RI15,4.147E-09,1
A0A062GSQ6,A0A7S4UXI5,A0A380FBZ1,Q69YV6,1.171E-03,1
A0A062GSQ6,A0A7S4UXI5,A0A3M1R9I1,F8VRX4,2.994E-03,1
A0A062GSQ6,A0A7S4UXI5,A0A3M1R9I1,J3KS25,2.994E-03,1
A0A062GSQ6,A0A7S4UXI5,A0A3M1R9I1,J3QLN6,2.994E-03,1
A0A062GSQ6,A0A7S4UXI5,A0A3N0Z0Y7,Q86UW0,3.334E-01,2
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YKG7,5.612E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YLE1,5.612E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YLE6,5.612E-01,3
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YLF2,5.612E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YLX6,5.612E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YM03,5.612E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YPD7,5.612E-01,1
A0A062GSQ6,A0A7S4UXI5,A0A3P6ULC1,A0A0A0YRJ5,5.612E-01,1
