defense_system_protein_id,defense_system_cluster_id,cluster_id,protein_id,evalue,cluFlag
A0A0K1EKA3,A0A2E7NAI8,A0A0C2ICF2,B4DW16,2.914E-06,2
A0A0K1EKA3,A0A2E7NAI8,A0A0F9SLM6,J3QKL0,5.141E-02,1
A0A0K1EKA3,A0A2E7NAI8,A0A0F9SLM6,Q8WVB3,5.141E-02,1
A0A0K1EKA3,A0A2E7NAI8,A0A0L1L0F1,A0A087WUV9,1.706E-05,1
A0A0K1EKA3,A0A2E7NAI8,A0A0L1L0F1,Q6NUM6,1.706E-05,1
A0A0K1EKA3,A0A2E7NAI8,A0A0L1L0F1,Q9NV66,1.706E-05,1
A0A0K1EKA3,A0A2E7NAI8,A0A0S7FLG1,B7Z282,3.192E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A183C974,O60502,1.993E-01,2
A0A0K1EKA3,A0A2E7NAI8,A0A1I7RVN4,A8K6I4,4.040E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A1I7RVN4,B4E3M6,4.040E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A1I7RVN4,P42285,4.040E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A2E7NAI8,A0A7P0TA11,7.102E-63,1
A0A0K1EKA3,A0A2E7NAI8,A0A2E7NAI8,B4DT76,7.102E-63,1
A0A0K1EKA3,A0A2E7NAI8,A0A2L0SXM4,B1AK13,1.399E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A2L0SXM4,Q8TB92,1.399E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A2M7UQ97,Q9H9T3,7.321E-02,2
A0A0K1EKA3,A0A2E7NAI8,A0A2S4VGH7,H7C3X0,2.536E-02,1
A0A0K1EKA3,A0A2E7NAI8,A0A2T0VWC6,B5LY64,1.106E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A2T0VWC6,B5LY70,1.106E-01,2
A0A0K1EKA3,A0A2E7NAI8,A0A2V8H346,B2RBQ0,7.724E-01,1
A0A0K1EKA3,A0A2E7NAI8,A0A2V8H346,B3KSN9,7.724E-01,1
